-0.248,-0.14,0.867,-0.312,0.071,0.906,-0.236,-0.35,0.791,0.928,1.672,1.25
-0.247,-0.141,0.867,-0.312,0.069,0.904,-0.236,-0.352,0.792,0.928,1.672,1.25
-0.247,-0.142,0.867,-0.313,0.067,0.904,-0.236,-0.353,0.793,0.928,1.672,1.25
-0.246,-0.143,0.868,-0.313,0.067,0.905,-0.237,-0.353,0.792,0.928,1.672,1.25
-0.246,-0.142,0.866,-0.313,0.068,0.904,-0.238,-0.353,0.792,0.928,1.672,1.25
-0.246,-0.142,0.866,-0.312,0.067,0.907,-0.236,-0.353,0.791,0.928,1.672,1.25
-0.246,-0.142,0.865,-0.312,0.067,0.904,-0.235,-0.353,0.789,0.928,1.672,1.25
-0.247,-0.142,0.865,-0.312,0.067,0.905,-0.236,-0.353,0.79,0.928,1.672,1.25
-0.247,-0.142,0.864,-0.313,0.068,0.904,-0.237,-0.352,0.792,0.928,1.672,1.25
-0.246,-0.141,0.867,-0.312,0.068,0.903,-0.236,-0.353,0.792,0.928,1.672,1.25
-0.246,-0.141,0.866,-0.313,0.069,0.903,-0.238,-0.353,0.792,0.928,1.672,1.25
-0.246,-0.142,0.867,-0.311,0.068,0.904,-0.238,-0.353,0.794,0.928,1.672,1.25
-0.246,-0.142,0.867,-0.31,0.067,0.904,-0.237,-0.353,0.793,0.928,1.672,1.25
-0.246,-0.142,0.865,-0.309,0.07,0.902,-0.235,-0.353,0.791,0.928,1.672,1.25
-0.246,-0.142,0.864,-0.314,0.071,0.902,-0.237,-0.349,0.79,0.928,1.672,1.334
-0.246,-0.142,0.867,-0.314,0.071,0.901,-0.239,-0.35,0.79,0.928,1.672,1.334
-0.246,-0.142,0.868,-0.314,0.071,0.902,-0.238,-0.35,0.791,0.928,1.672,1.334
-0.246,-0.14,0.868,-0.311,0.069,0.909,-0.237,-0.353,0.797,0.922,1.506,0.939
-0.245,-0.142,0.87,-0.311,0.066,0.909,-0.238,-0.355,0.79,0.928,1.672,1.25
